Address,City,Neighborhood,Market,Zip Code,Space type,Total Space Available,Lease Rate
"20900 Hubbell Ave., Oak Park, MI 48237","Oak Park, MI",Oak Park,Detroit,"
                48237
            ",Industrial - Flex Space," 5,472 Sqft","$575,000"
"61 Greenpoint Avenue, Brooklyn, NY 11222","Brooklyn, NY",Greenpoint,Brooklyn,"
                11222
            ",Office," 113,700 Sqft",Contact for pricing
"310 Riverside Drive, New York, NY 10025","New York, NY",Upper West Side,,"
                10025
            ",Mixed Use - Office / Retail / Medical," 100,000 Sqft",$105.6/Sqft/Year
"1054 31st St NW, Washington, DC 20007","Washington, DC",Georgetown,Washington DC - Suburban Maryland,"
                20007
            ",Office - Office Building," 121,000 Sqft",$30 - $41/Sqft/Year
"100 Acorn Park Drive, Cambridge, MA 02140","Cambridge, MA",North Cambridge,Boston,"
                02140
            ",Office," 286,000 Sqft",Contact for pricing
"1298 SW Biltmore St, Fort Pierce, FL 34983","Fort Pierce, FL",River Park,Central Coast,"
                34983
            ",Industrial - Flex Space," 72,000 Sqft",Contact for pricing
"300 East Big Beaver Road, Troy, MI 48083","Troy, MI",Troy,Detroit,"
                48083
            ",Office," 153,618 Sqft",$19.95/Sqft/Year
"4211 North Cicero Avenue, Chicago, IL 60641","Chicago, IL",Old Irving Park,Chicago,"
                60641
            ",Healthcare," 39,000 Sqft",$33/Sqft/Year
"110 East 23rd Street, New York, NY 10010","New York, NY",Gramercy Park,Manhattan,"
                10010
            ",Office," 30,000 Sqft",Contact for pricing
"764 A Main Street, Waltham, MA 02451","Waltham, MA",Banks Square,,"
                02451
            ",Office," 5,580 Sqft",Contact for pricing
"922 Atlantic Avenue, Brooklyn, NY 11238","Brooklyn, NY",Prospect Heights,,"
                11238
            ",Retail," 1,300 Sqft","$5,500/Month"
"99 Derby Street, Hingham, MA 02043","Hingham, MA",Greater Hingham,Boston,"
                02043
            ",Office - General Office," 62,793 Sqft",Contact for pricing
"1100 H Street NW, Washington, DC 20005","Washington, DC",Penn Quarter,Washington DC - Suburban Maryland,"
                20005
            ",Office," 114,000 Sqft",$38 - $39/Sqft/Year
"144 Gould Street, Needham, MA 02494","Needham, MA",Needham,Boston,"
                02494
            ",Office - General Office," 45,312 Sqft",Contact for pricing
"148 E Boston Post Rd, Mamaroneck, NY 10543","Mamaroneck, NY",Mamaroneck,White Plains,"
                10543
            ",Mixed Use - Office / Retail," 2,214 Sqft",$28/Sqft/Year
"75 2nd Avenue, Needham, MA 02494","Needham, MA",Needham,Boston,"
                02494
            ",Office - General Office," 111,928 Sqft",Contact for pricing
"250 1st Avenue, Needham, MA 02494","Needham, MA",Needham,Boston,"
                02494
            ",Office - General Office," 73,176 Sqft",Contact for pricing
