Address,City,Neighborhood,Market,Zip Code,Space type,Total Space Available,Lease Rate
"2235 Polvorosa Ave Bldg. B, San Leandro, CA 94577","San Leandro, CA",Mulford Gardens,Bay Area,"
                94577
            ",Industrial - Flex - Industrial," 3.00/ 1,000 SF",$1.35/Sqft/Month
"900 Concourse Dr, Rapid City, SD 57703","Rapid City, SD",Rushmore Business Park,,"
                57703
            ",Office - General Office," 75,751 Sqft",$9.5/Sqft/Year
"4025 Tampa Road, Oldsmar, FL 34677","Oldsmar, FL","
                34677
            ",,Tampa St Petersburg Clearwater,Industrial," 58,963 Sqft",Contact for pricing
"1785 Pilgrim Mill Road, Cumming, GA 30040","Cumming, GA","
                30040
            ",,Atlanta,Retail - Street Retail," 11,360 Sqft","$3,500/Month"
"900 Biscayne Blvd, Miami, FL 33132","Miami, FL",Downtown Miami,Miami,"
                33132
            ",Office - Shared Space," 12,000 Sqft",$35/Sqft/Year
"5251 W Campbell Ave, Phoenix, AZ 85031","Phoenix, AZ",Maryvale,Phoenix,"
                85031
            ",Office - Medical Office," 19,644 Sqft",$19/Sqft/Year
"126 Salem Court, Tallahassee, FL 32301","Tallahassee, FL",Meadowbrook,Tallahassee,"
                32301
            ",Office - General Office," 5,135 Sqft",$12/Sqft/Year
"4060 Asbury Avenue, Tinton Falls, NJ 07753","Tinton Falls, NJ","
                07753
            ",,New Jersey,Retail - Strip," 22,000 Sqft",$24/Sqft/Year
"431 S. Bridge St., Visalia, CA 93277","Visalia, CA",Washington,Central Valley,"
                93277
            ",Office - Medical Office," 2,190 Sqft","$4,000/Month"
"89-95 S West End Blvd, Quakertown, PA 18951","Quakertown, PA","
                18951
            ",,Philadelphia,Retail - Strip," 17,081 Sqft",Contact for pricing
"1213 Laskin Road, Virginia Beach, VA 23451","Virginia Beach, VA",Birdneck Acres,Richmond Tidewater,"
                23451
            ",Office - General Office," 7,955 Sqft",$14/Sqft/Year
"6043 Hudson Road, Woodbury, MN 55125","Woodbury, MN",Woodbury Heights,Minneapolis St Paul,"
                55125
            ",Office - General Office," 160,500 Sqft",$15.5/Sqft/Year
"20354 Sussex Highway, Bridgeville, DE 19933","Bridgeville, DE","
                19933
            ",,,Other, 5.77 Acre,"$10,000/Month"
"3821 Juniper TRCE Unit #205 and 206, Austin, TX 78738","Austin, TX",Bee Cave,Austin,"
                78738
            ",Office - General Office," 2,463 Sqft",$28/Sqft/Year
"180 English Landing Dr., Parkville, MO 64152","Parkville, MO","
                64152
            ",,Kansas City,Retail," 18,000 Sqft",$13/Sqft/Year
"7110 W Central Ave, Toledo, OH 43617","Toledo, OH",Greater Sylvania,Toledo,"
                43617
            ",Office - General Office," 11,401 Sqft",Contact for pricing
"1210 Capital Circle SE, Tallahassee, FL 32301","Tallahassee, FL",Camelot Park,Tallahassee,"
                32301
            ",Retail - Strip," 192,000 Sqft",$14/Sqft/Year
"Bowles Ave & Wadsworth Blvd, Littleton, CO 80123","Littleton, CO",Marston,Denver,"
                80123
            ",Retail - Street Retail," 138,000 Sqft",Contact for pricing
"1449 Indianapolis Blvd, Whiting, IN 46394","Whiting, IN",Whiting,Chicago,"
                46394
            ",Retail - Restaurant," 1,890 Sqft","$3,000/Month"
"9 N West Ave, Fayetteville, AR 72701","Fayetteville, AR",Dickson Street,,"
                72701
            ",Office - Shared Space," 4,464 Sqft",$20/Sqft/Year
"102 SW 3rd St., Lawton, OK 73501","Lawton, OK",Lawton,Oklahoma City,"
                73501
            ",Office - General Office," 54,970 Sqft",$10 - $12/Sqft/Year
"3602 Inland Empire Boulevard, Ontario, CA 91764","Ontario, CA","
                91764
            ",,Inland Empire,Office," 13,400 Sqft",$27/Sqft/Year
"142 Paraclete Dr, Raeford, NC 28376","Raeford, NC","
                28376
            ",,,Office - General Office," 19,200 Sqft",$22/Sqft/Year
"4301 S Packers Avenue, Chicago, IL 60609","Chicago, IL",Back of the Yards,Chicago,"
                60609
            ",Industrial - Warehouse/Distribution," 20,055 Sqft",Contact for pricing
"150 Corporate Drive, Elgin, IL 60123","Elgin, IL",Willow Lakes Estates,Chicago,"
                60123
            ",Industrial - Warehouse/Distribution,2001,$5.95/Sqft/Year
"18310-18314 Oxnard Street, Tarzana, CA 91356","Tarzana, CA",Tarzana,Los Angeles,"
                91356
            ",Industrial - Warehouse/Distribution," 8,957 Sqft",$1.32 - $1.62/Sqft/Month
"8140 College Parkway, Fort Myers, FL 33919","Fort Myers, FL",Whiskey Creek,Southwest Florida Coast,"
                33919
            ",Office - General Office," 16,864 Sqft",$14/Sqft/Year
"800 District Ave., Burlington, MA 01803","Burlington, MA",Burlington,Boston,"
                01803
            ",Office," 218,761 Sqft",Contact for pricing
"550 Biltmore Way, Coral Gables, FL 33134","Coral Gables, FL",Biltmore,Miami,"
                33134
            ",Office," 162,293 Sqft",$45/Sqft/Year
"325 John Knox Road, Tallahassee, FL 32303","Tallahassee, FL",Wellswood - Suburban Hills,Tallahassee,"
                32303
            ",Office - General Office," 265,000 Sqft",$15.5/Sqft/Year
"403 Victorius Blvd E, Oak Ridge, TN 37830","Oak Ridge, TN",Elza,,"
                37830
            ",Office - General Office," 26,104 Sqft",$11.75/Sqft/Year
"5328 Lanier Islands Pkwy, Buford, GA 30518","Buford, GA",Friendship Corners,,"
                30518
            ",Office - General Office," 23,040 Sqft",$18 - $20/Sqft/Year
"3390 North Liberty Street, Canton, MS 39046","Canton, MS",Canton,Jackson,"
                39046
            ",Office - General Office," 10,975 Sqft",$8/Sqft/Year
"1988 E Baseline Rd Ste 101, Tempe, AZ 85283","Tempe, AZ",Shalimar,Phoenix,"
                85283
            ",Office - General Office," 3,997 Sqft",$19.95/Sqft/Year
"6639 Centurion Dr, Lansing, MI 48917","Lansing, MI",Waverly,Detroit,"
                48917
            ",Office - General Office," 15,779 Sqft",$16/Sqft/Year
"1529 E. Palmdale Blvd., Palmdale, CA 93551","Palmdale, CA","
                93551
            ",,Los Angeles,Office - Medical Office," 47,069 Sqft",Contact for pricing
"402-404 BNA Drive, Nashville, TN 37217","Nashville, TN",Nashville International Airport,Nashville,"
                37217
            ",Office," 233,759 Sqft",$18.5 - $23/Sqft/Year
"5846 W 21st St, Wichita, KS 67205","Wichita, KS",Horseshoe Lake,Wichita,"
                67205
            ",Office - General Office," 9,000 Sqft",$12/Sqft/Year
"2940-3014 Farrell Road, Houston, TX 77073","Houston, TX",Greater Greenspoint,Houston,"
                77073
            ",Industrial - Manufacturing," 64,000 Sqft",$0.63 - $0.7/Sqft/Month
"3701-3711-3721-3731 Briarpark Drive, Houston, TX 77042","Houston, TX",Westchase,Houston,"
                77042
            ",Office - General Office," 51,169 Sqft",$16/Sqft/Year
"100 Witherspoon Street, Louisville, KY 40202","Louisville, KY",Louisville Central Business District,Louisville,"
                40202
            ",Office," 275,000 Sqft",$15/Sqft/Year
"415 1st  Avenue North, Saint Petersburg, FL 33701","Saint Petersburg, FL",Downtown St. Petersburg,Tampa St Petersburg Clearwater,"
                33701
            ",Office - General Office," 140,000 Sqft",$25/Sqft/Year
"44 W Bellevue Dr., Pasadena, CA 91105","Pasadena, CA",Raymond Hill,Los Angeles,"
                91105
            ",Industrial - Flex - Industrial," 8,300 Sqft",$2.1/Sqft/Month
"111-159 W. Shaw Avenue, Clovis, CA 93612","Clovis, CA",Clovis,Central Valley,"
                93612
            ",Retail - Community Center," 107,560 Sqft",Contact for pricing
"570 E Oakton St, Des Plaines, IL 60016","Des Plaines, IL","
                60016
            ",,Chicago,Retail - Restaurant," 12,422 Sqft",$13/Sqft/Year
"1901 Brantley Road, Fort Myers, FL 33907","Fort Myers, FL",Villas,Southwest Florida Coast,"
                33907
            ",Retail - Strip," 40,000 Sqft",$12.5/Sqft/Year
"8222 East 103rd Street , Tulsa, OK 74133","Tulsa, OK",Bixby,Tulsa,"
                74133
            ",Retail - Street Retail," 59,594 Sqft",$17 - $19/Sqft/Year
"801 Corporate Center Drive, Pomona, CA 91768","Pomona, CA",Spadra,Los Angeles,"
                91768
            ",Office," 107,604 Sqft",$25.2/Sqft/Year
"8558 W 21st St, Wichita, KS 67205","Wichita, KS",Reflection Ridge,Wichita,"
                67205
            ",Office - Creative Office," 11,593 Sqft",$22/Sqft/Year
"4025 Tampa Road, Oldsmar, FL 34677","Oldsmar, FL","
                34677
            ",,Tampa St Petersburg Clearwater,Industrial," 58,963 Sqft",Contact for pricing
"33800 Groesbeck, Clinton Township, MI 48035","Clinton Township, MI",Greater Mount Clemens,Detroit,"
                48035
            ",Office - Medical Office," 50,000 Sqft",$8.85/Sqft/Year
"2625 American Ln, Elk Grove Village, IL 60007","Elk Grove Village, IL","
                60007
            ",,Chicago,Industrial - Manufacturing," 24,150 Sqft",$9.25/Sqft/Year
"2901 4th Street North, Saint Petersburg, FL 33704","Saint Petersburg, FL",Historic Old Northeast,Tampa St Petersburg Clearwater,"
                33704
            ",Retail - Street Retail," 5,000 Sqft",$28/Sqft/Year
